,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Mountain Home,20,US,1583852889,100,43.13,-115.69,275.93,0.85
1,Chokurdakh,0,RU,1583852669,93,70.63,147.92,237.41,1.63
2,Mezen',100,RU,1583852956,89,65.85,44.24,274.71,5.67
3,Ushuaia,20,AR,1583852728,70,-54.8,-68.3,282.15,1.4
4,Butaritari,100,KI,1583852673,78,3.07,172.79,301.91,7.53
5,Tasiilaq,40,GL,1583852957,31,65.61,-37.64,266.15,4.1
6,Avarua,100,CK,1583852957,94,-21.21,-159.78,296.15,2.6
7,Mayumba,8,GA,1583852957,75,-3.43,10.66,302.01,2.96
8,Mataura,11,NZ,1583852661,95,-46.19,168.86,282.04,0.45
9,Maniitsoq,97,GL,1583852957,59,65.42,-52.9,268.51,5.19
10,Bilibino,99,RU,1583852957,94,68.05,166.44,246.31,0.97
11,Airai,99,TL,1583852958,95,-8.93,125.41,292.91,1.11
12,Jamestown,90,US,1583852435,87,42.1,-79.24,286.15,6.2
13,Leningradskiy,93,RU,1583852696,88,69.38,178.42,246.01,2.26
14,Rikitea,5,PF,1583852958,85,-23.12,-134.97,298.51,7.79
15,Mufulira,100,ZM,1583852958,89,-12.55,28.24,295.21,1.51
16,Vaini,75,TO,1583852958,94,-21.2,-175.2,298.15,1.5
17,Arkhangelsk,90,RU,1583852662,98,64.54,40.54,276.15,3.0
18,East London,100,ZA,1583852959,92,-33.02,27.91,295.61,4.07
19,Port Hardy,90,CA,1583852959,100,50.7,-127.42,276.15,4.6
20,Puerto Ayora,40,EC,1583852959,83,-0.74,-90.35,300.37,4.6
21,Ostrovnoy,35,RU,1583852959,85,68.05,39.51,273.51,9.7
22,Nikolskoye,40,RU,1583852660,76,59.7,30.79,280.37,5.0
23,Iberia,90,US,1583852960,100,29.95,-91.75,293.15,2.6
24,Lata,0,PT,1583852960,72,40.16,-8.33,298.15,4.6
25,Punta Arenas,100,CL,1583852960,69,-53.15,-70.92,283.15,2.1
26,Yeppoon,62,AU,1583852960,78,-23.13,150.73,296.15,3.1
27,Bahraich,99,IN,1583852960,82,27.58,81.6,295.93,0.45
28,Albany,90,US,1583852667,37,42.6,-73.97,288.71,5.1
29,Constitución,0,CL,1583852961,40,-35.33,-72.42,295.21,2.36
30,Sabzawār,0,IR,1583852825,38,36.21,57.68,282.81,1.1
31,New Norfolk,90,AU,1583852962,82,-42.78,147.06,286.15,0.87
32,Atuona,54,PF,1583852962,75,-9.8,-139.03,300.21,7.03
33,Tuatapere,68,NZ,1583852962,95,-46.13,167.68,282.04,0.45
34,Pisco,20,PE,1583852962,30,-13.7,-76.22,298.15,2.1
35,Hobart,90,AU,1583852733,82,-42.88,147.33,286.15,2.29
36,Hilo,90,US,1583852726,88,19.73,-155.09,292.15,1.6
37,Cape Town,50,ZA,1583852875,45,-33.93,18.42,301.15,7.7
38,Torbay,20,CA,1583852714,47,47.67,-52.73,265.93,6.7
39,Souillac,75,MU,1583852963,78,-20.52,57.52,301.15,5.7
40,Saldanha,15,ZA,1583852726,37,-33.01,17.94,302.15,6.7
41,Goygol,20,AZ,1583852963,62,40.59,46.32,287.15,5.1
42,Departamento de Maldonado,40,UY,1583852666,60,-34.67,-54.92,297.15,7.2
43,Pankovka,100,RU,1583852964,73,58.5,31.2,279.31,3.26
44,Bethel,75,US,1583852964,41,41.37,-73.41,289.26,3.1
45,Hithadhoo,28,MV,1583852964,75,-0.6,73.08,301.91,4.77
46,Mar del Plata,2,AR,1583852851,72,-38.0,-57.56,291.15,6.7
47,Avera,20,US,1583852965,72,33.19,-82.53,291.48,3.1
48,Kapaa,40,US,1583852965,78,22.08,-159.32,295.15,4.1
49,Busselton,0,AU,1583852965,32,-33.65,115.33,295.93,6.58
50,São Filipe,0,CV,1583852965,68,14.9,-24.5,296.31,6.5
51,Ribeira Grande,75,PT,1583852965,82,38.52,-28.7,291.15,3.1
52,Delhi,40,IN,1583852582,52,28.67,77.22,294.15,1.5
53,Jaguaribe,84,BR,1583852966,59,-5.89,-38.62,305.51,0.62
54,Vaitape,100,PF,1583852927,71,-16.52,-151.75,300.41,2.84
55,Husavik,75,IS,1583852966,96,66.04,-17.34,273.15,17.5
56,Rafsanjān,0,IR,1583852966,14,30.41,55.99,283.81,5.56
57,Hornepayne,0,CA,1583852966,78,49.21,-84.77,259.91,1.94
58,Matão,0,BR,1583852967,64,-21.6,-48.37,300.21,2.61
59,Trairi,100,BR,1583852967,63,-3.28,-39.27,304.01,1.64
60,Barrow,20,US,1583852967,98,71.29,-156.79,239.15,1.98
61,Hermanus,37,ZA,1583852967,76,-34.42,19.23,294.82,5.81
62,Longyearbyen,20,SJ,1583852968,62,78.22,15.64,248.15,1.5
